"Shipping method has not been selected yet","Способ доставки еще не был выбран"
"Send Payment Failed Email Copy Method","Способ отправки копии сообщения о неудавшемся платеже для доп. получателя"
"Payment Method","Способ оплаты"
"Payment method is not defined","Способ оплаты не определен"
"Shipping Methods","Способы доставки"
"Product","Товар"
"%s was successfully added to your shopping cart.","Товар '%s' успешно добавлен в Вашу корзину."
"Product does not exist","Товар не существует"
"Items","Товары"
"Text","Текст"
"Checkbox text","Текст для галочки"
"Telephone","Телефон"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","<a href=""%s"">Товара <strong>1</strong> шт</a> "
"Save Condition","Условия сохранения"
"Checkout Conditions","Условия заказа"
"Condition was successfully saved","Условие было успешно сохранено"
"Condition was successfully deleted","Условие было успешно удалено"
"Remove","Удалить"
"Delete Condition","Удалить условие"
"Remove Item","Удалить товар"
"Remove Product","Удалить товар"
"Remove item","Удалить товар"
"There is already a customer registered using this email address","Уже существует пользователь, зарегистрированный на данный email."
"Already registered?","Уже зарегистрированы?"
"Enter your destination to get a shipping estimate.","Укажите Ваше местоположение для оценки стоимости доставки"
"Manage Checkout Terms and Conditions","Управление соглашением о заказе"
"Fax","Факс"
"Price","Цена"
"Unit Price","Цена за единицу"
"State/Province","Штат/район"
"Payment Failed Template","Шаблон сообщения о неудавшемся платеже"
"Your Checkout Progress","Этапы оформления заказа"
"This condition no longer exists","Это условие больше не существует"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Мы обрабатываем ваш заказ. В ближайшее время вы получите email письмо с подробной информацией о заказе. После отправки заказа вы получите еще одно письмо с ссылкой для отслеживания пути посылки."
"Maximum qty allowed for Shipping to multiple addresses is %s","Максимальное кол-во товара, разрешённое к доставке по нескольким адресам: %s"
"My Cart (%s item)","Моя корзина (%s шт.)"
"My Cart (%s items)","Моя корзина (%s шт.)"
"My Account","Мой аккаунт"
"Checkout method","Метод оформления заказа"
"Enable Terms and Conditions","Использовать соглашение о заказе"
"Apply Coupon","Использовать сертификат"
"Use Billing Address","Использовать платежный адрес"
"Subtotal","Итого"
"Total for this address","Итого для этого адреса"
"Cart Subtotal:","Итого:"
"Grand Total:","Итого:"
"ID","Идентификационный номер"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Извините, заказ без регистрации невозможен."
"Sorry, Onepage Checkout is disabled.","Извините, моментальный заказ отключён."
"Change","Изменить"
"Edit Items","Изменить товары"
"Edit Address","Изменить адрес"
"Edit Shipping Address","Изменить адрес доставки"
"Change Billing Address","Изменить адрес оплаты"
"Edit Billing Address","Изменить адрес оплаты"
"Grouped product image","Иллюстрация группы товаров"
"Shopping Cart Sidebar","Инф. блок корзины"
"Terms and Conditions Information","Информация о ""Соглашении о заказе"""
"Shipping Information","Информация о доставке"
"Card Verification Number Visual Reference","Информация о проверочном коде на карте"
"Billing Information","Информация о покупателе"
"Billing Information - %s","Информация о покупателе - %s"
"Payment Information","Информация об оплате"
"Register with us for future convenience:","Зарегистрируйтесь для  удобства в будущем:"
"Register to Create an Account","Зарегистрируйтесь для создания учетной записи"
"Register and save time!","Зарегистрируйтесь и экономьте время!"
"Forgot an Item?","Забыли товар?"
"Forgot your password?","Забыли пароль?"
"Loading next step...","Загрузка следующего шага"
"Close","Закрыть"
"Order #","Заказ #"
"Order Success","Заказ успешно создан"
"osCommerce Orders","Заказы osCommerce"
"Disable Onepage Checkout","Запретить моментальный заказ"
"Easy access to your order history and status","Быстрый доступ к Вашей истории и состоянию заказов"
"Fast and easy check out","Быстрое оформление заказа"
"Excl. Tax","Без налогов"
"There was an error processing your order. Please contact us or try again later.","В ходе обработки заказа произошла ошибка. Пожалуйста, попробуйте позже или свяжитесь с администрацией."
"An error occurred in the process of payment","В ходе оплаты произошла ошибка"
"Add to Cart","В корзину"
"Total","Всего"
"Login","Вход"
"Are you sure you would like to remove this item from the shopping cart?","Вы уверены, что хотите удалить этот товар из корзины?"
"Based on your selection, you may be interested in the following items:","Вы можете быть заинтересованы в следующих товарах:"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Вы получите письмо с подтверждением вашего заказа на Ваш email и ссылку для отслеживания отправленной посылки"
"Content Height","Высота"
"Content Height (css)","Высота (CSS)"
"Shipping selection is not applicable","Выбор доставки не подходит"
"Select Shipping Method","Выберите способ доставки"
"Select State/Province...","Выберите регион/район ..."
"Select Address","Выберите адрес"
"Please select shipping address for applicable items","Выберите адрес доставки для указанных товаров"
"Select a shipping address from your address book or enter a new address.","Выберите адрес доставки из адресной книги или введите новый ."
"Select a billing address from your address book or enter a new address.","Выберите адрес оплаты из адресной книги или введите новый."
"Select Addresses","Выберите адреса"
"Disabled","Выключено"
"Quote Lifetime (days)","Время жизни квоты (дней)"
"Your order # is: %s","Ваш заказ # %s"
"Your order has been received","Ваш заказ был получен"
"Your order # is: <a href=""%s"">%s</a>","Ваш заказ: <a href=""%s"">%s</a>"
"You have no items in your shopping cart.","Ваша корзина пуста"
"Checkout Options","Варианты оформления"
"Enter your coupon code if you have one.","Введите код имеющегося у Вас сертификата."
"Enter a New Address","Введите новый адрес"
"Store View","Вид магазина"
"Enabled","Включено"
"City","Город"
"Other items in your order","Другие товары заказа"
"Ship to Multiple Addresses","Доставить заказ на несколько адресов"
"Ship to this address","Доставить на этот адрес"
"Ship to different address","Доставить по другим адресам"
"Shipping to","Доставка до"
"Add to Compare","Добавить к сравнению"
"Add New Address","Добавить новый адрес"
"Add New Condition","Добавить новое условие"
"Send Payment Failed Email Copy To","Доп. получатель сообщения о неудавшемся платеже"
